group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,course_code,source_text
ENSC_2026_2027_HONOURS_007,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH103,MATH_V 101 or 103 or 105 or 121 3
ENSC_2026_2027_HONOURS_007,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH105,MATH_V 101 or 103 or 105 or 121 3
ENSC_2026_2027_HONOURS_007,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH121,MATH_V 101 or 103 or 105 or 121 3
ENSC_2026_2027_HONOURS_009,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,SCIE_V 113,3.0,required_course,,,,,,SCIE113,SCIE_V 113
ENSC_2026_2027_HONOURS_013,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"ENVR_V 200 7 , 205, 240",7.0,required_all,,,,,,ENVR200,"ENVR_V 200 7 , 205, 240"
ENSC_2026_2027_HONOURS_013,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"ENVR_V 200 7 , 205, 240",7.0,required_all,,,,,,ENVR205,"ENVR_V 200 7 , 205, 240"
ENSC_2026_2027_HONOURS_013,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"ENVR_V 200 7 , 205, 240",7.0,required_all,,,,,,ENVR240,"ENVR_V 200 7 , 205, 240"
ENSC_2026_2027_HONOURS_014,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,EOSC_V 340,3.0,required_course,,,,,,EOSC340,EOSC_V 340
ENSC_2026_2027_HONOURS_015,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 8",3.0,choose_n,1,,,,,BIOL300,"One of STAT_V 200, 201, BIOL_V 300 8"
ENSC_2026_2027_HONOURS_015,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 8",3.0,choose_n,1,,,,,STAT200,"One of STAT_V 200, 201, BIOL_V 300 8"
ENSC_2026_2027_HONOURS_015,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 8",3.0,choose_n,1,,,,,STAT201,"One of STAT_V 200, 201, BIOL_V 300 8"
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,ATSC303,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,CHEM211,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,CHEM311,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,EOSC211,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,GEOS270,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,GEOS309,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,GEOS370,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,GEOS373,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,NRES241,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,NRES340,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,NRES341,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,ENVR300,"ENVR_V 300, 305, 350, 449, 450"
