group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2026_2027_HONOURS_007,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH_V 101 or 103 or 105 or 121 3
ENSC_2026_2027_HONOURS_008,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,PHYS_V 100-level 4,3.0,level_requirement,,PHYS,100-level,PHYS100;PHYS170,credits,"PHYS_V 100-level 4 | Footnote 4: Chosen from 100-level PHYS_V courses, excluding PHYS_V 100 and PHYS_V 170. Students without Physics 12 must replace 3 credits of electives with PHYS_V 100 before taking any other 100-level PHYS_V course. Students may defer taking any other 100-level PHYS_V course to second year."
ENSC_2026_2027_HONOURS_009,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,SCIE_V 113,3.0,required_course,,,,,,SCIE_V 113
ENSC_2026_2027_HONOURS_010,ENSC,2026-2027,Honours,First Year,Electives,,,,,False,"Electives 5,6",4.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_HONOURS_011_TOTAL,ENSC,2026-2027,Honours,First Year,Credit Total,,,,,False,Total Credits,33.0,year_total_credits,,,,,,Total Credits
ENSC_2026_2027_HONOURS_012,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,One 200-level BIOL_V OR CHEM_V,3.0,level_requirement,1,BIOL;CHEM,200-level,,course,One 200-level BIOL_V OR CHEM_V
ENSC_2026_2027_HONOURS_013,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"ENVR_V 200 7 , 205, 240",7.0,required_all,,,,,,"ENVR_V 200 7 , 205, 240"
ENSC_2026_2027_HONOURS_014,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,EOSC_V 340,3.0,required_course,,,,,,EOSC_V 340
ENSC_2026_2027_HONOURS_015,ENSC,2026-2027,Honours,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 8",3.0,choose_n,1,,,,,"One of STAT_V 200, 201, BIOL_V 300 8"
ENSC_2026_2027_HONOURS_016,ENSC,2026-2027,Honours,Second Year,Area of Concentration,,,,,False,"Area of Concentration 9,10",6.0,area_of_concentration_credits,,,,,,"Area of Concentration 9,10"
ENSC_2026_2027_HONOURS_017,ENSC,2026-2027,Honours,Second Year,Tools Elective,,,,,False,Tools Electives 11,3.0,choose_n,2,,,,,"Tools Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_018,ENSC,2026-2027,Honours,Second Year,Electives,,,,,False,"Electives 5,6",8.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_HONOURS_019_TOTAL,ENSC,2026-2027,Honours,Second Year,Credit Total,,,,,False,Total Credits,33.0,year_total_credits,,,,,,Total Credits
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,"ENVR_V 300, 305, 350, 449, 450"
ENSC_2026_2027_HONOURS_021,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,"One of ENVR_V 410, 420, 430, 440"
ENSC_2026_2027_HONOURS_022,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,EOSC_V 345,3.0,required_course,,,,,,EOSC_V 345
ENSC_2026_2027_HONOURS_023,ENSC,2026-2027,Honours,Third and Fourth Years,Complementary Studies,,,,,False,Complementary Studies 12,9.0,complementary_studies_credits,,,,,,Complementary Studies 12
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_025,ENSC,2026-2027,Honours,Third and Fourth Years,Electives,,,,,False,"Electives 5,6",14.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_HONOURS_026,ENSC,2026-2027,Honours,Third and Fourth Years,Area of Concentration,,,,,False,Area of Concentration 9,18.0,area_of_concentration_credits,,,,,,Area of Concentration 9
ENSC_2026_2027_HONOURS_027_TOTAL,ENSC,2026-2027,Honours,Third and Fourth Years,Credit Total,,,,,False,Total Credits,66.0,year_total_credits,,,,,,Total Credits
ENSC_2026_2027_HONOURS_028_MIN_DEGREE,ENSC,2026-2027,Honours,,Degree Minimum,,,,,False,Minimum Credits for Degree,132.0,minimum_degree_credits,,,,,,Minimum Credits for Degree
ENSC_2026_2027_MAJOR_AOC_LAND_AIR_WATER_001,ENSC,2026-2027,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,CHEM_V 123,,required_course,,,,,,CHEM_V 123
ENSC_2026_2027_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2026-2027,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,ENVR_V 420,,required_course,,,,,,ENVR_V 420
ENSC_2026_2027_MAJOR_AOC_LAND_AIR_WATER_003,ENSC,2026-2027,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,EOSC_V 211,,required_course,,,,,,EOSC_V 211
ENSC_2026_2027_MAJOR_AOC_LAND_AIR_WATER_004,ENSC,2026-2027,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,"One of APBI_V 200, ATSC_V 201, EOSC_V 220, 221, 222, 270, GEOS_V 200, 206.",,choose_n,1,,,,,"One of APBI_V 200, ATSC_V 201, EOSC_V 220, 221, 222, 270, GEOS_V 200, 206."
ENSC_2026_2027_MAJOR_AOC_ECOLOGY_CONSERVATION_001,ENSC,2026-2027,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,BIOL_V 230,,required_course,,,,,,BIOL_V 230
ENSC_2026_2027_MAJOR_AOC_ECOLOGY_CONSERVATION_002,ENSC,2026-2027,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,CONS_V 200,,required_course,,,,,,CONS_V 200
ENSC_2026_2027_MAJOR_AOC_ECOLOGY_CONSERVATION_003,ENSC,2026-2027,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"ENVR_V 430, 440",,course_list_review,,,,,,"ENVR_V 430, 440"
ENSC_2026_2027_MAJOR_AOC_ECOLOGY_CONSERVATION_004,ENSC,2026-2027,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"Three of APBI_V 200, 342, 401, 423, BIOL_V 203, 204, 205, 209, 210, 302, 303, 314, 320, 324, 327, 328, 336, 403, 406, 408, 409, 411, 412, 413, 416, 418, 420, 424, 425, 427, 437, EOSC_V 372, 373, 470, 475, 478, GEOG_V 318, GEOS_V 204, 207, 303, 306, 307, 407, 415, MICB_V 301, UFOR_V 403",,choose_n,3,,,,,"Three of APBI_V 200, 342, 401, 423, BIOL_V 203, 204, 205, 209, 210, 302, 303, 314, 320, 324, 327, 328, 336, 403, 406, 408, 409, 411, 412, 413, 416, 418, 420, 424, 425, 427, 437, EOSC_V 372, 373, 470, 475, 478, GEOG_V 318, GEOS_V 204, 207, 303, 306, 307, 407, 415, MICB_V 301, UFOR_V 403"
ENSC_2026_2027_MAJOR_AOC_ENERGY_TRANSITIONS_SUSTAINABILITY_001,ENSC,2026-2027,Major,,Area of Concentration,ENERGY_TRANSITIONS_SUSTAINABILITY,Energy Transitions and Sustainability,Energy Transitions and Sustainability Area of Concentration,,False,"ENVR_V 410, 440",,course_list_review,,,,,,"ENVR_V 410, 440"
ENSC_2026_2027_MAJOR_AOC_ENERGY_TRANSITIONS_SUSTAINABILITY_002,ENSC,2026-2027,Major,,Area of Concentration,ENERGY_TRANSITIONS_SUSTAINABILITY,Energy Transitions and Sustainability,Energy Transitions and Sustainability Area of Concentration,,False,PHYS_V 333,,required_course,,,,,,PHYS_V 333
ENSC_2026_2027_MAJOR_AOC_ENERGY_TRANSITIONS_SUSTAINABILITY_003,ENSC,2026-2027,Major,,Area of Concentration,ENERGY_TRANSITIONS_SUSTAINABILITY,Energy Transitions and Sustainability,Energy Transitions and Sustainability Area of Concentration,,False,"One of ARCL_V 309, ASIC_V 220, CONS_V 425, DES_V 230, ENVR_V 430, GEOG_V 302, 310, 318, ISCI_V 360, POLI_V 351, POLI_V 375A, SCIE_V 420, SOCI_V 230",,choose_n,1,,,,,"One of ARCL_V 309, ASIC_V 220, CONS_V 425, DES_V 230, ENVR_V 430, GEOG_V 302, 310, 318, ISCI_V 360, POLI_V 351, POLI_V 375A, SCIE_V 420, SOCI_V 230"
ENSC_2026_2027_MAJOR_AOC_ENERGY_TRANSITIONS_SUSTAINABILITY_004,ENSC,2026-2027,Major,,Area of Concentration,ENERGY_TRANSITIONS_SUSTAINABILITY,Energy Transitions and Sustainability,Energy Transitions and Sustainability Area of Concentration,,False,"Three of APSC_V 366, ATSC_V 313, BEST_V 202, 301, 401, 402, CHBE_V 482, 483, 473, 488, CHEM_V 341, ECON_V 471, FRE_V 374, FRST_V 101, LFS_V 101.",,choose_n,3,,,,,"Three of APSC_V 366, ATSC_V 313, BEST_V 202, 301, 401, 402, CHBE_V 482, 483, 473, 488, CHEM_V 341, ECON_V 471, FRE_V 374, FRST_V 101, LFS_V 101."
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH_001,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH,Environmental Impacts on Human Health,Environment Impacts on Human Health Area of Concentration,,False,CHEM_V 123,,required_course,,,,,,CHEM_V 123
