group_id,program,calendar_year,program_type,year_level,concentration_id,concentration_name,concentration_name_raw,aoc_category,is_recommended,label,credits,rule_type,rule_value,course_code
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOB309
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOB370
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOB373
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOS270
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOS309
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOS370
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOS373
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,ISCI422
ENSC_2024_2025_HONOURS_001,ENSC,2024-2025,Honours,First Year,,,,,False,BIOL_V 121 1,3.0,required_course,,BIOL121
ENSC_2024_2025_HONOURS_002,ENSC,2024-2025,Honours,First Year,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,BIOL140
ENSC_2024_2025_HONOURS_002,ENSC,2024-2025,Honours,First Year,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,BIOL180
ENSC_2024_2025_HONOURS_003,ENSC,2024-2025,Honours,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM111
ENSC_2024_2025_HONOURS_003,ENSC,2024-2025,Honours,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM121
ENSC_2024_2025_HONOURS_003,ENSC,2024-2025,Honours,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM141
ENSC_2024_2025_HONOURS_004,ENSC,2024-2025,Honours,First Year,,,,,False,CHEM_V 123 2,4.0,required_course,,CHEM123
ENSC_2024_2025_HONOURS_006,ENSC,2024-2025,Honours,First Year,,,,,False,DSCI_V 100,3.0,required_course,,DSCI100
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH100
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH102
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH104
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH120
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH180
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH184
ENSC_2024_2025_HONOURS_008,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,MATH101
ENSC_2024_2025_HONOURS_008,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,MATH103
ENSC_2024_2025_HONOURS_008,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,MATH105
ENSC_2024_2025_HONOURS_008,ENSC,2024-2025,Honours,First Year,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,MATH121
ENSC_2024_2025_HONOURS_012,ENSC,2024-2025,Honours,Second Year,,,,,False,APBI_V 200,3.0,required_course,,APBI200
ENSC_2024_2025_HONOURS_013,ENSC,2024-2025,Honours,Second Year,,,,,False,ATSC_V 201,3.0,required_course,,ATSC201
ENSC_2024_2025_HONOURS_014,ENSC,2024-2025,Honours,Second Year,,,,,False,BIOL_V 230,3.0,required_course,,BIOL230
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,CHEM205
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,CHEM208
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,CHEM210
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,CHEM211
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,CHEM233
ENSC_2024_2025_HONOURS_017,ENSC,2024-2025,Honours,Second Year,,,,,False,ENVR_V 200,3.0,required_course,,ENVR200
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,BIOL300
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,MATH200
